Fabricated Timestamp,Temperature,Humidity,ms,Speed_and_mode,Motion Detected (0/1),Mode( Auto=1),Speed
11325821,26,58,8,8,0,1,0
11325791,26,57,8,8,0,1,0
11325761,26,58,8,8,0,1,0
11325731,25,56,8,8,0,1,0
11325701,26,56,8,8,0,1,0
11325671,26,56,8,8,0,1,0
11325641,26,56,8,8,0,1,0
11325611,26,56,9,9,0,1,1
11325581,26,57,10,10,0,1,2
11325551,26,56,138,10,1,1,2
11325521,26,57,138,10,1,1,2
11325491,26,57,138,10,1,1,2
11325461,26,57,138,10,1,1,2
11325431,26,57,138,10,1,1,2
11325401,26,57,9,9,0,1,1
11325371,26,56,10,10,0,1,2
11325341,26,57,138,10,1,1,2
11325311,26,57,138,10,1,1,2
11325281,26,57,138,10,1,1,2
11325251,26,55,138,10,1,1,2
11325221,26,56,138,10,1,1,2
11325191,26,57,138,10,1,1,2
11325161,26,57,10,10,0,1,2
11325131,26,58,138,10,1,1,2
11325101,26,56,138,10,1,1,2
11325071,26,57,138,10,1,1,2
11325041,26,57,138,10,1,1,2
11325011,26,57,138,10,1,1,2
11324981,26,58,138,10,1,1,2
11324951,26,57,138,10,1,1,2
11324921,26,57,138,10,1,1,2
11324891,26,58,138,10,1,1,2
11324861,26,58,138,10,1,1,2
11324831,26,57,138,10,1,1,2
11324801,26,57,138,10,1,1,2
11324771,26,57,10,10,0,1,2
11324741,26,56,138,10,1,1,2
11324711,26,58,138,10,1,1,2
11324681,26,58,138,10,1,1,2
11324651,26,58,138,10,1,1,2
11324621,26,57,138,10,1,1,2
11324591,26,58,138,10,1,1,2
11324561,26,59,138,10,1,1,2
11324531,26,58,138,10,1,1,2
11324501,26,58,138,10,1,1,2
11324471,26,58,138,10,1,1,2
11324441,26,57,138,10,1,1,2
11324411,26,58,138,10,1,1,2
11324381,26,58,138,10,1,1,2
11324351,26,59,9,9,0,1,1
11324321,26,58,10,10,0,1,2
11324291,26,58,138,10,1,1,2
11324261,26,59,138,10,1,1,2
11324231,26,59,10,10,0,1,2
11324201,26,60,138,10,1,1,2
11324171,26,60,138,10,1,1,2
11324141,26,60,138,10,1,1,2
11324111,26,62,139,11,1,1,3
11324081,26,60,8,8,0,1,0
11324051,26,59,8,8,0,1,0
11324021,26,62,8,8,0,1,0
11323991,26,60,8,8,0,1,0
11323961,26,62,8,8,0,1,0
11323931,26,59,8,8,0,1,0
11323901,26,59,8,8,0,1,0
11323871,26,60,8,8,0,1,0
11323841,26,63,8,8,0,1,0
11323811,26,60,8,8,0,1,0
11323781,26,60,8,8,0,1,0
11323751,26,59,8,8,0,1,0
11323721,26,60,8,8,0,1,0
11323691,26,57,8,8,0,1,0
11323661,26,58,8,8,0,1,0
11323631,26,60,8,8,0,1,0
11323601,26,59,8,8,0,1,0
11323571,26,57,8,8,0,1,0
11323541,26,57,8,8,0,1,0
11323511,26,57,8,8,0,1,0
11323481,26,58,8,8,0,1,0
11323451,26,58,9,9,0,1,1
11323421,26,57,10,10,0,1,2
11323391,26,57,138,10,1,1,2
11323361,26,57,138,10,1,1,2
11323331,26,57,138,10,1,1,2
11323301,26,57,10,10,0,1,2
11323271,26,57,138,10,1,1,2
11323241,26,58,138,10,1,1,2
11323211,26,58,138,10,1,1,2
11323181,26,58,138,10,1,1,2
11323151,26,58,138,10,1,1,2
11323121,26,58,10,10,0,1,2
11323091,26,57,138,10,1,1,2
11323061,26,57,10,10,0,1,2
11323031,26,57,138,10,1,1,2
11323001,26,57,8,8,0,1,0
11322971,26,57,9,9,0,1,1
11322941,26,57,10,10,0,1,2
11322911,26,58,138,10,1,1,2
11322881,26,57,138,10,1,1,2
11322851,26,57,8,8,0,1,0
11322821,26,57,8,8,0,1,0
11322791,26,57,8,8,0,1,0
11322761,26,57,9,9,0,1,1
11322731,26,57,10,10,0,1,2
11322701,26,57,138,10,1,1,2
11322671,26,58,10,10,0,1,2
11322641,26,59,138,10,1,1,2
11322611,26,58,8,8,0,1,0
11322581,26,58,8,8,0,1,0
11322551,26,58,9,9,0,1,1
11322521,26,58,10,10,0,1,2
11322491,26,57,138,10,1,1,2
11322461,26,57,138,10,1,1,2
11322431,26,57,138,10,1,1,2
11322401,26,56,138,10,1,1,2
11322371,26,57,138,10,1,1,2
11322341,26,58,8,8,0,1,0
11322311,26,57,8,8,0,1,0
11322281,26,55,8,8,0,1,0
11322251,26,56,8,8,0,1,0
11322221,26,56,8,8,0,1,0
11322191,26,56,8,8,0,1,0
11322161,26,57,9,9,0,1,1
11322131,26,56,10,10,0,1,2
11322101,26,56,138,10,1,1,2
11322071,26,57,138,10,1,1,2
11322041,26,57,138,10,1,1,2
11322011,26,57,138,10,1,1,2
11321981,26,57,138,10,1,1,2
11321951,26,57,138,10,1,1,2
11321921,26,57,138,10,1,1,2
11321891,26,57,138,10,1,1,2
11321861,26,57,138,10,1,1,2
11321831,26,56,138,10,1,1,2
11321801,26,56,138,10,1,1,2
11321771,26,55,10,10,0,1,2
11321741,26,55,138,10,1,1,2
11321711,26,53,8,8,0,1,0
11321681,26,54,8,8,0,1,0
11321651,26,55,8,8,0,1,0
11321621,26,56,8,8,0,1,0
11321591,26,56,9,9,0,1,1
11321561,26,55,10,10,0,1,2
11321531,27,54,139,11,1,1,3
11321501,27,55,8,8,0,1,0
11321471,27,55,8,8,0,1,0
11321441,27,55,9,9,0,1,1
11321411,27,56,10,10,0,1,2
11321381,27,56,11,11,0,1,3
11321351,26,56,138,10,1,1,2
11321321,26,56,138,10,1,1,2
11321291,26,57,138,10,1,1,2
11321261,26,56,10,10,0,1,2
11321231,26,55,138,10,1,1,2
11321201,26,56,9,9,0,1,1
11321171,26,56,10,10,0,1,2
11321141,26,56,138,10,1,1,2
11321111,27,56,139,11,1,1,3
11321081,27,56,139,11,1,1,3
11321051,27,56,139,11,1,1,3
11321021,27,57,139,11,1,1,3
11320991,27,57,10,10,0,1,2
11320961,27,56,11,11,0,1,3
11320931,27,56,139,11,1,1,3
11320901,26,58,10,10,0,1,2
11320871,26,57,138,10,1,1,2
11320841,26,58,138,10,1,1,2
11320811,26,56,9,9,0,1,1
11320781,26,58,10,10,0,1,2
11320751,26,58,138,10,1,1,2
11320721,26,59,10,10,0,1,2
11320691,26,59,138,10,1,1,2
11320661,26,56,138,10,1,1,2
11320631,26,57,138,10,1,1,2
11320601,26,57,8,8,0,1,0
11320571,26,58,8,8,0,1,0
11320541,26,59,8,8,0,1,0
11320511,26,59,9,9,0,1,1
11320481,26,58,10,10,0,1,2
11320451,27,59,139,11,1,1,3
11320421,26,60,8,8,0,1,0
11320391,26,60,9,9,0,1,1
11320361,26,59,10,10,0,1,2
11320331,26,62,139,11,1,1,3
11320301,26,62,11,11,0,1,3
11320271,26,61,139,11,1,1,3
11320241,26,59,10,10,0,1,2
11320211,27,61,140,12,1,1,4
11320181,26,62,139,11,1,1,3
11320151,27,62,140,12,1,1,4
11320121,27,61,140,12,1,1,4
11320091,27,62,12,12,0,1,4
11320061,27,63,140,12,1,1,4
11320031,27,62,12,12,0,1,4
11320001,27,64,140,12,1,1,4
11319971,27,62,140,12,1,1,4
11319941,27,63,140,12,1,1,4
11319911,27,64,140,12,1,1,4
11319881,27,63,140,12,1,1,4
11319851,27,62,140,12,1,1,4
11319821,27,63,12,12,0,1,4
11319791,27,64,140,12,1,1,4
11319761,27,65,10,10,0,1,2
11319731,27,65,11,11,0,1,3
11319701,27,67,12,12,0,1,4
11319671,27,67,140,12,1,1,4
11319641,27,66,140,12,1,1,4
11319611,27,67,140,12,1,1,4
11319581,27,67,12,12,0,1,4
11319551,27,68,140,12,1,1,4
11319521,27,70,140,12,1,1,4
11319491,27,66,140,12,1,1,4
11319461,27,65,140,12,1,1,4
11319431,27,69,140,12,1,1,4
11319401,27,67,11,11,0,1,3
11319371,27,71,12,12,0,1,4
11319341,27,72,140,12,1,1,4
11319311,27,69,140,12,1,1,4
11319281,28,68,8,8,0,1,0
11319251,28,68,8,8,0,1,0
11319221,28,69,8,8,0,1,0
11319191,28,70,8,8,0,1,0
11319161,28,70,8,8,0,1,0
11319131,28,72,8,8,0,1,0
11319101,28,73,8,8,0,1,0
11319071,28,72,8,8,0,1,0
11319041,28,74,8,8,0,1,0
11319011,28,75,8,8,0,1,0
11318981,28,75,8,8,0,1,0
11318951,28,75,9,9,0,1,1
11318921,28,74,10,10,0,1,2
11318891,28,76,11,11,0,1,3
11318861,29,76,13,13,0,1,5
11318831,29,76,141,13,1,1,5
11318801,29,76,9,9,0,1,1
11318771,29,76,10,10,0,1,2
11318741,29,76,11,11,0,1,3
11318711,29,75,12,12,0,1,4
11318681,29,75,13,13,0,1,5
11318651,29,74,141,13,1,1,5
11318621,29,73,141,13,1,1,5
11318591,29,73,141,13,1,1,5
11346671,27,59,11,11,0,1,3
11346641,27,59,139,11,1,1,3
11346611,27,59,139,11,1,1,3
11346581,27,59,139,11,1,1,3
11346551,27,59,8,8,0,1,0
11346521,27,60,9,9,0,1,1
11346491,26,59,9,9,0,1,1
11346461,26,59,10,10,0,1,2
11346431,27,59,139,11,1,1,3
11346401,27,58,8,8,0,1,0
11346371,27,57,8,8,0,1,0
11346341,27,58,8,8,0,1,0
11346311,27,59,8,8,0,1,0
11346281,27,59,9,9,0,1,1
11346251,27,59,10,10,0,1,2
11346221,27,59,11,11,0,1,3
11346191,27,60,139,11,1,1,3
11346161,27,60,139,11,1,1,3
11346131,27,59,8,8,0,1,0
11346101,27,59,8,8,0,1,0
11346071,27,58,8,8,0,1,0
11346041,27,58,8,8,0,1,0
11346011,27,59,8,8,0,1,0
11345981,27,59,8,8,0,1,0
11345951,27,60,9,9,0,1,1
11345921,26,61,10,10,0,1,2
11345891,26,62,11,11,0,1,3
11345861,26,63,139,11,1,1,3
11345831,26,63,139,11,1,1,3
11345801,26,62,8,8,0,1,0
11345771,26,62,8,8,0,1,0
11345741,26,62,8,8,0,1,0
11345711,26,61,8,8,0,1,0
11345681,26,62,8,8,0,1,0
11345651,26,62,8,8,0,1,0
11345621,26,61,8,8,0,1,0
11345591,26,61,8,8,0,1,0
11345561,26,60,8,8,0,1,0
11345531,26,60,8,8,0,1,0
11345501,26,60,8,8,0,1,0
11345471,26,61,8,8,0,1,0
11345441,26,62,8,8,0,1,0
11345411,26,61,8,8,0,1,0
11345381,26,61,8,8,0,1,0
11345351,26,61,8,8,0,1,0
11345321,26,61,8,8,0,1,0
11345291,26,61,8,8,0,1,0
11345261,26,62,8,8,0,1,0
